"Name","Region","state","summit_elev","vertical_drop","base_elev","trams","fastSixes","fastQuads","quad","triple","double","surface","total_chairs","Runs","TerrainParks","LongestRun_mi","SkiableTerrain_ac","Snow Making_ac","daysOpenLastYear","yearsOpen","averageSnowfall","AdultWeekend","projectedDaysOpen","NightSkiing_ac"
"Mount Sunapee","New Hampshire","New Hampshire","2743","1510","1233","0","0","2","1","2","1","4","10","66","4","0.8","232","215","130","71","100","93","136",""
"Pats Peak","New Hampshire","New Hampshire","1460","770","690","0","0","0","0","4","2","5","11","28","3","1.5","115","115","109","56","100","72","112","93"
"Ragged Mountain Resort","New Hampshire","New Hampshire","2250","1250","1000","0","1","1","0","1","0","3","6","57","3","0.7","250","200","","54","100","84","140",""
"Waterville Valley","New Hampshire","New Hampshire","4004","2020","1984","0","0","2","0","2","3","4","11","62","4","1.9","265","220","142","54","148","93","142",""
"Whaleback Mountain","New Hampshire","New Hampshire","1800","700","1100","0","0","0","0","0","1","3","4","30","1","1","85","60","105","64","110","45","105","55"
"Wildcat Mountain","New Hampshire","New Hampshire","4062","2112","1950","0","0","1","0","3","0","1","5","48","","2.8","225","200","156","61","200","89","150",""
"Mountain Creek Resort","New Jersey","New Jersey","1480","1040","440","1","0","2","2","1","1","3","10","46","3","2","167","167","90","54","65","79.99","100","167"
"Angel Fire Resort","New Mexico","New Mexico","10677","2077","8600","0","0","2","0","0","3","2","7","81","3","3","560","230","101","53","210","77","101","50"
"Enchanted Forest Ski Area","New Mexico","New Mexico","10078","400","9820","0","0","0","0","0","0","0","0","33","","2.5","600","","130","34","240","20","140",""
"Pajarito Mountain Ski Area","New Mexico","New Mexico","10441","1410","9031","0","0","0","1","1","3","1","6","45","2","0.6","750","35","89","62","163","49","117",""
"Red River","New Mexico","New Mexico","10350","1600","8750","0","0","0","1","3","1","2","7","63","3","2.5","209","","110","60","214","79","",""
"Sandia Peak","New Mexico","New Mexico","10378","1700","8678","0","0","0","0","0","4","1","5","39","1","2","200","30","32","82","100","55","38",""
"Sipapu Ski Resort","New Mexico","New Mexico","9255","1055","8200","0","0","0","1","2","0","3","6","42","4","0.5","200","140","127","67","190","47","143",""
"Ski Apache","New Mexico","New Mexico","11500","1900","9600","1","0","0","2","6","0","2","11","55","3","2","750","270","133","58","185","74","124",""
"Ski Santa Fe","New Mexico","New Mexico","12075","1725","10350","0","0","0","1","2","2","2","7","83","1","3","660","275","107","73","225","80","130",""
"Taos Ski Valley","New Mexico","New Mexico","12481","3281","9200","1","0","1","3","4","1","4","14","111","1","5","1294","647","137","64","300","110","136",""
"Belleayre","New York","New York","3429","1404","2025","1","0","1","1","1","2","2","8","50","2","2.2","175","168","154","70","130","72","150",""
"Brantling Ski Slopes","New York","New York","850","250","600","0","0","0","0","0","0","5","5","10","","0.1","20","16","","19","110","32","",""
"Bristol Mountain","New York","New York","2200","1200","1000","0","0","2","1","1","1","1","6","34","3","2","160","148","129","55","60","76","129","154"
"Buffalo Ski Club Ski Area","New York","New York","3429","500","2025","0","0","0","0","0","2","4","6","43","1","","225","150","","12","","50","","100"
"Catamount","New York","New York","2000","1000","1000","0","0","0","1","1","2","3","7","36","5","2","133","130","100","80","108","69","90","55"
"Dry Hill Ski Area","New York","New York","950","300","650","0","0","0","0","0","1","2","3","7","1","0.2","35","26","","55","125","35","","26"
"Gore Mountain","New York","New York","3600","2537","998","1","0","2","2","3","2","4","14","110","7","4.5","439","338","142","55","150","88","","15"
"Greek Peak","New York","New York","2100","952","1148","0","0","0","1","1","4","2","8","56","4","1.5","220","184","110","62","122","63.2","113","175"
"Holiday Mountain","New York","New York","1550","400","1150","0","0","0","1","0","1","2","4","9","","0.4","37","37","75","60","50","42","85","37"
"Holiday Valley","New York","New York","2250","750","1500","0","0","3","8","0","0","2","13","60","5","1","290","266","116","62","180","78","129","189"
"Holimont Ski Area","New York","New York","2260","700","1560","0","0","1","1","2","3","1","8","53","3","1.5","135","135","110","57","180","75","119",""
"Hunt Hollow Ski Club","New York","New York","2030","825","1000","0","0","0","0","1","1","1","3","19","1","1","400","400","","52","130","58","75","400"
"Hunter Mountain","New York","New York","3200","1600","1600","0","2","1","2","2","2","4","13","67","4","2","320","320","148","59","120","89","155",""
"Kissing Bridge","New York","New York","1700","550","1150","0","0","0","2","1","4","3","10","39","5","0.5","700","550","103","59","120","60","100","650"
"Labrador Mt.","New York","New York","1825","700","1125","0","0","0","0","1","2","1","4","23","1","1","250","237","","62","125","59","100","180"
"Maple Ski Ridge","New York","New York","1200","450","750","0","0","0","0","1","1","1","3","10","","0.3","25","25","","57","","38","","20"
"McCauley Mountain Ski Center","New York","New York","2250","633","1563","0","0","0","0","0","1","4","5","23","1","0.3","70","55","105","61","200","30","105",""
"Mount Peter Ski Area","New York","New York","1250","450","750","0","0","0","1","0","2","2","5","14","1","1","69","69","100","83","50","54","100","69"
"Oak Mountain","New York","New York","2400","650","1750","0","0","0","1","0","0","3","4","22","1","1.2","46","18","","71","120","40","","12"
"Peek'n Peak","New York","New York","1800","400","1400","0","0","0","0","8","0","2","10","27","4","2.4","110","110","110","55","225","63","","110"
"Plattekill Mountain","New York","New York","3500","1100","2400","0","0","0","0","1","1","2","4","38","1","2","110","75","65","26","175","67","65",""
"Royal Mountain Ski Area","New York","New York","1800","550","1250","0","0","0","0","0","3","0","3","14","","0.3","35","28","","63","90","45","",""
"Snow Ridge","New York","New York","2000","650","1350","0","0","0","0","0","4","2","6","21","2","0.8","130","65","73","74","230","48","100","40"
"Song Mountain","New York","New York","1940","700","1240","0","0","0","0","1","1","3","5","24","","0.4","93","70","90","55","125","59","122","70"
"Swain","New York","New York","1970","650","1320","0","0","0","3","0","1","1","5","35","3","1","130","90","102","72","120","59","100","80"
"Thunder Ridge","New York","New York","1270","500","770","0","0","0","0","1","2","3","6","30","","0.4","100","100","121","60","","57","121","100"
"Titus Mountain","New York","New York","2025","1200","825","0","0","0","0","2","6","2","10","50","3","2","200","150","101","59","150","49","100","70"
"Toggenburg Mountain","New York","New York","2000","700","1300","0","0","0","0","1","1","3","5","22","2","0.4","85","","","66","130","55","122","73"
"West Mountain","New York","New York","1470","1010","460","0","0","0","0","1","2","2","5","29","1","0.6","124","105","","58","80","59","120","105"
"Whiteface Mountain Resort","New York","New York","4650","3430","1220","1","0","1","1","2","5","2","12","86","5","2.1","288","220","122","61","168","96","141",""
"Willard Mountain","New York","New York","1415","505","910","0","0","0","0","0","2","3","5","16","","0.4","50","35","85","19","80","46","120","35"
"Windham Mountain","New York","New York","3100","1600","1500","0","1","2","0","3","1","5","12","54","6","2","285","280","123","59","105","95","130","56"
"Woods Valley Ski Area","New York","New York","1400","500","900","0","0","0","0","0","2","4","6","21","","0.3","25","16","","55","180","39","","15"
"Appalachian Ski Mountain","North Carolina","North Carolina","4000","365","3635","0","0","0","2","0","1","2","5","12","3","0.5","27","27","100","57","50","64","100","27"
"Cataloochee Ski Area","North Carolina","North Carolina","5400","740","4660","0","0","0","1","1","1","2","5","18","2","1","50","50","141","58","50","70","108","50"
"Sapphire Valley","North Carolina","North Carolina","3450","200","3200","0","0","0","1","0","0","2","3","","1","1","8","8","53","55","24","43","60","8"
"Beech Mountain Resort","North Carolina","North Carolina","5506","830","4675","0","0","0","3","0","3","2","8","17","1","1","95","95","98","52","31","68","","95"
"Sugar Mountain Resort","North Carolina","North Carolina","5300","1200","4100","0","1","0","0","1","4","2","8","21","1","1.5","125","125","114","50","77","75","120","95"
"Wolf Ridge Ski Resort","North Carolina","North Carolina","4700","720","4000","0","0","0","1","0","1","2","4","15","1","0.6","65","65","","49","65","65","100","60"
"Alpine Valley","Ohio","Ohio","1500","230","1260","0","0","0","1","2","1","1","5","11","1","0.2","72","72","105","53","120","43","","72"
"Boston Mills","Ohio","Ohio","871","264","631","0","0","0","0","4","2","2","8","7","2","0.3","40","40","92","56","51","44","110","40"
"Brandywine","Ohio","Ohio","871","240","631","0","0","0","2","7","2","5","16","11","2","0.3","85","85","92","56","51","44","110","85"
"Mad River Mountain","Ohio","Ohio","1460","300","1160","0","0","0","1","2","3","6","12","20","4","0.5","144","144","99","57","36","44","90","144"
"Snow Trails","Ohio","Ohio","1475","301","1174","0","0","0","0","4","2","3","9","17","3","0.2","80","80","101","58","50","52","70","80"
"Anthony Lakes Mountain Resort","Oregon","Oregon","8000","900","7100","0","0","0","0","1","0","2","3","21","2","1.5","1100","","75","56","300","40","80",""
"Cooper Spur","Mt. Hood","Oregon","4000","350","3500","0","0","0","0","0","1","1","2","10","","0.1","50","","78","66","100","39","90",""
"Hoodoo Ski Area","Oregon","Oregon","5703","1035","4668","0","0","0","3","1","1","0","5","34","","0.4","806","","80","81","350","59","108","200"
"Mt. Ashland","Oregon","Oregon","7533","1150","6383","0","0","0","0","2","2","1","5","23","2","1","220","","94","55","300","52","92","40"
"Mt. Bachelor","Oregon","Oregon","9065","3365","5700","0","0","8","0","3","0","0","11","101","5","4","4318","20","185","61","462","99","185",""
"Mt. Hood Skibowl","Mt. Hood","Oregon","5100","1500","3600","0","0","0","0","0","4","5","9","65","2","3","960","29","125","82","300","70","144","317"
"Willamette Pass","Oregon","Oregon","6683","1563","5120","0","1","0","0","3","0","1","5","29","","2.1","555","60","3","78","430","60","100",""
"Bear Creek Mountain Resort","Pennsylvania","Pennsylvania","1100","510","600","0","0","0","3","1","0","2","6","23","3","1","86","86","91","52","30","60","90","86"
"Ski Big Bear","Pennsylvania","Pennsylvania","1250","650","600","0","0","0","0","0","4","2","6","18","1","1.5","26","26","75","43","69","62","75","26"
"Big Boulder","Pennsylvania","Pennsylvania","2175","600","1700","0","0","0","0","2","5","1","8","16","8","","55","55","76","72","50","65","95","55"
"Blue Knob","Pennsylvania","Pennsylvania","3146","1072","2074","0","0","0","0","2","2","2","6","34","1","2","100","84","87","56","120","68","105","42"
"Blue Mountain Resort","Pennsylvania","Pennsylvania","1600","1082","460","0","1","1","1","1","3","9","16","39","5","1.2","164","164","122","42","33","65","112","164"
"Camelback Mountain Resort","Pennsylvania","Pennsylvania","2100","800","1250","0","0","2","0","3","5","6","16","37","5","1","166","166","100","56","50","70","100","160"
"Elk Mountain Ski Resort","Pennsylvania","Pennsylvania","2693","1000","1693","0","0","0","1","0","5","1","7","27","2","0.7","180","146","","60","60","69","100","90"
"Jack Frost","Pennsylvania","Pennsylvania","2000","600","1400","0","0","0","1","2","5","1","9","20","1","1","100","100","96","47","50","65","105",""
"Liberty","Pennsylvania","Pennsylvania","1190","620","570","0","0","0","5","0","0","3","8","16","3","1","100","100","107","54","31","77","97","100"
"Mount Pleasant of Edinboro","Pennsylvania","Pennsylvania","1540","340","1200","0","0","0","0","1","0","1","2","10","","0.5","40","35","75","48","100","33","90","35"
"Roundtop Mountain Resort","Pennsylvania","Pennsylvania","1400","600","800","0","0","0","3","2","0","3","8","20","2","0.4","103","103","","55","30","73","","100"
"Seven Springs","Pennsylvania","Pennsylvania","2994","750","2240","0","2","0","3","5","0","4","14","33","7","1.2","285","285","99","87","135","87","115","200"
"Shawnee Mountain Ski Area","Pennsylvania","Pennsylvania","1350","700","650","0","0","1","1","0","4","4","10","23","2","1.6","125","125","100","44","50","65","122","120"
"Ski Sawmill","Pennsylvania","Pennsylvania","2215","515","1700","0","0","0","0","1","1","3","5","14","1","0.1","15","13","","50","24","44","90","15"
"Tussey Mountain","Pennsylvania","Pennsylvania","1750","520","1230","0","0","0","1","0","1","3","5","8","1","0.3","38","30","100","39","41","45","100","30"
"Whitetail Resort","Pennsylvania","Pennsylvania","1800","935","865","0","0","1","3","0","2","2","8","23","2","1","120","120","116","28","40","71","100","120"
"Deer Mountain Ski Resort","South Dakota","South Dakota","6850","940","6040","0","0","0","0","1","1","2","4","63","2","1.6","500","50","69","51","200","45","81",""
"Terry Peak Ski Area","South Dakota","South Dakota","7100","1100","5900","0","0","3","0","1","0","1","5","30","1","1.2","450","225","114","65","150","58","120",""
"Ober Gatlinburg Ski Resort","Tennessee","Tennessee","3300","600","2700","0","0","0","2","0","1","1","4","10","1","1","","","83","44","35","65","94",""
"Alta Ski Area","Salt Lake City","Utah","11068","2538","8530","0","0","3","0","1","2","0","6","116","","1.3","2614","140","150","81","545","116","140",""
"Beaver Mountain","Utah","Utah","8600","1600","7232","0","0","0","0","1","3","1","5","48","2","0.8","464","","120","81","400","50","120",""
"Brian Head Resort","Utah","Utah","10970","1548","9600","0","0","1","0","6","1","0","8","71","2","0.6","650","216","149","54","360","59","148",""
"Brighton Resort","Salt Lake City","Utah","10500","1745","8755","0","0","3","1","1","0","2","7","66","4","1.2","1050","200","138","83","500","85","138","200"
"Deer Valley Resort","Salt Lake City","Utah","9570","3000","6570","1","0","13","0","5","2","0","21","103","","2.8","2026","660","","39","300","169","",""
"Eagle Point","Utah","Utah","10600","1500","9100","0","0","0","1","1","2","1","5","40","1","0.9","650","","","9","400","60","109",""
"Powder Mountain","Utah","Utah","9422","2522","6900","0","0","1","4","1","0","3","9","167","2","3.5","8464","","120","47","500","88","146","300"
"Snowbasin","Utah","Utah","9350","2900","6450","3","1","2","0","3","0","2","11","107","4","3.5","3000","625","143","79","300","115","138",""
"Snowbird","Salt Lake City","Utah","11000","3240","7760","1","0","6","0","0","4","3","14","170","1","2.5","2500","","188","48","500","125","180","2"
"Solitude Mountain Resort","Salt Lake City","Utah","10488","2494","7994","0","0","4","2","1","1","1","9","80","","3","1200","150","161","62","500","119","148",""
"Sundance","Utah","Utah","8250","2150","6100","0","0","0","2","2","0","1","5","45","1","0.6","450","112","128","50","320","80","129",""
"Nordic Valley Resort","Utah","Utah","6400","960","5440","0","0","0","0","0","2","2","4","23","1","0.4","140","84","105","51","300","50","105","140"
"Bolton Valley","Vermont","Vermont","3150","1704","1446","0","0","0","2","0","3","1","6","71","3","0.6","300","90","133","53","300","79","132","50"
"Bromley Mountain","Vermont","Vermont","3284","1334","1950","0","0","1","1","0","4","3","9","47","1","2.5","178","153","","83","168","91","152",""
"Burke Mountain","Vermont","Vermont","3267","2011","1210","0","0","2","1","0","0","3","6","50","3","2.2","178","125","110","62","217","73","125",""
"Jay Peak","Vermont","Vermont","3968","2153","1815","1","0","1","3","1","1","2","9","79","2","3","385","300","155","64","349","89","160",""
"Killington Resort","Vermont","Vermont","4241","3050","1165","3","1","5","4","3","1","5","22","155","6","6","1515","600","192","61","250","119","",""
"Magic Mountain","Vermont","Vermont","2850","1500","1350","0","0","0","0","0","3","3","6","50","1","1.6","205","95","76","59","150","74","80",""
"Pico Mountain","Vermont","Vermont","3967","1967","2000","0","0","2","0","2","2","1","7","59","1","4","260","156","","82","250","81","",""
"Smugglers' Notch Resort","Vermont","Vermont","3640","2610","1030","0","0","0","0","0","6","2","8","78","6","3","1000","192","136","63","280","79","135",""
"Sugarbush","Vermont","Vermont","4083","2600","1483","0","0","5","5","2","1","3","16","111","4","3","581","406","150","61","250","119","156",""
"Suicide Six","Vermont","Vermont","1200","650","550","0","0","0","0","0","2","1","3","24","","0.4","100","50","100","85","90","75","106",""
"Bryce Resort","Virginia","Virginia","1750","500","1250","0","0","0","1","0","1","5","7","8","","0.4","25","25","100","54","30","68","95","20"
"49 Degrees North","Washington","Washington","5774","1851","3932","0","0","0","1","0","5","1","7","89","1","2","2325","","101","48","301","62","135","250"
"Bluewood","Washington","Washington","5670","1125","4545","0","0","0","0","2","0","1","3","24","2","2","355","","70","40","300","47","110",""
"Crystal Mountain","Washington","Washington","7012","3100","4400","1","2","2","1","2","2","0","10","57","1","2.5","2600","10","","57","486","99","",""
"Mt. Baker","Washington","Washington","5000","1500","3500","0","0","0","8","0","0","2","10","38","","0.7","1000","","143","66","663","60.01","165",""
"Mt. Spokane Ski and Snowboard Park","Washington","Washington","5889","2000","4200","0","0","0","0","1","5","1","7","52","3","0.6","1704","","100","81","300","59","103","45"
"The Summit at Snoqualmie","Washington","Washington","3865","1025","2840","0","0","3","3","4","10","7","27","112","5","0.8","1994","5","120","82","428","95","140","541"
"White Pass","Washington","Washington","6550","2050","4500","0","0","2","1","1","2","2","8","45","2","2.5","1402","30","148","67","400","69","144","90"
"Canaan Valley Resort","West Virginia","West Virginia","4280","850","3430","0","0","0","1","2","0","1","4","47","1","1.2","95","75","","48","160","68","93",""
"Snowshoe Mountain Resort","West Virginia","West Virginia","4848","1500","3348","0","0","3","2","6","0","3","14","60","5","1.5","257","257","125","46","180","87","138","86"
"Timberline Four Seasons","West Virginia","West Virginia","4265","1000","3268","0","0","0","0","2","1","1","4","40","1","2","100","100","97","37","150","92","115","27"
"Winterplace Ski Resort","West Virginia","West Virginia","3600","603","2997","0","0","0","2","3","2","2","9","27","2","1.2","90","90","120","36","100","72","120","74"
"Alpine Valley Resort","Wisconsin","Wisconsin","1040","388","820","0","0","3","0","3","1","5","12","21","3","0.2","90","90","100","55","80","65","120","90"
"Bruce Mound","Wisconsin","Wisconsin","1375","375","1000","0","0","0","0","1","0","4","5","12","2","0.5","40","30","42","71","42","25","42","30"
"Cascade Mountain","Wisconsin","Wisconsin","1280","460","820","0","0","2","2","3","2","3","12","47","4","1.1","175","175","120","57","56","64","120",""
"Christie Mountain","Wisconsin","Wisconsin","1650","350","1300","0","0","0","0","0","1","5","6","30","4","0.8","45","41","92","43","48","38","120","35"
"Devils Head","Wisconsin","Wisconsin","995","500","495","0","0","0","3","1","6","2","12","27","1","1","260","260","110","48","45","65","135","200"
"Grand Geneva","Wisconsin","Wisconsin","1086","211","875","0","0","0","0","0","3","3","6","20","1","0.2","30","30","90","25","25","49","93","30"
"Granite Peak Ski Area","Wisconsin","Wisconsin","1942","700","1242","0","1","2","0","2","0","2","7","75","4","0.6","220","160","136","82","75","92","135","200"
"Mount La Crosse","Wisconsin","Wisconsin","1110","516","594","0","0","0","0","0","3","1","4","19","1","0.4","100","100","115","60","40","56","100","90"
"Nordic Mountain","Wisconsin","Wisconsin","1137","265","872","0","0","0","0","1","1","5","7","18","4","1","60","60","68","43","80","47","90","60"
"Sunburst","Wisconsin","Wisconsin","1100","214","866","0","0","0","0","0","3","6","9","13","4","0.5","37","37","99","59","50","44","115","37"
"Trollhaugen","Wisconsin","Wisconsin","1200","260","920","0","0","0","2","0","1","5","8","24","4","0.5","86","86","130","69","50","54","120","86"
"Tyrol Basin","Wisconsin","Wisconsin","1160","300","860","0","0","0","0","3","0","2","5","18","5","0.5","32","32","112","61","41","48","103","32"
"Whitecap Mountain","Wisconsin","Wisconsin","1750","400","1295","0","0","0","1","0","4","0","5","43","1","1","400","300","105","57","200","60","118",""
"Wilmot Mountain","Wisconsin","Wisconsin","1030","230","800","0","0","0","3","2","2","3","10","23","2","0.5","135","135","125","81","70","66","139","135"
"Grand Targhee Resort","Wyoming","Wyoming","9920","2270","7851","0","0","2","2","0","0","1","5","95","1","2.7","2602","","152","50","500","90","152",""
"Hogadon Basin","Wyoming","Wyoming","8000","640","7400","0","0","0","0","0","1","1","2","28","1","0.6","92","32","121","61","80","48","95",""
"Sleeping Giant Ski Resort","Wyoming","Wyoming","7428","810","6619","0","0","0","0","1","1","1","3","48","1","1","184","18","61","81","310","42","77",""
"Snow King Resort","Wyoming","Wyoming","7808","1571","6237","0","0","0","1","1","1","0","3","32","2","1","400","250","121","80","300","59","123","110"
"Snowy Range Ski & Recreation Area","Wyoming","Wyoming","9663","990","8798","0","0","0","0","1","3","1","5","33","2","0.7","75","30","131","59","250","49","",""
"White Pine Ski Area","Wyoming","Wyoming","9500","1100","8400","0","0","0","0","2","0","0","2","25","","0.4","370","","","81","150","49","",""
